job_opportunity_id,descricao_vaga_area,inicio_inscricoes,termino_inscricoes,setor_empresa,name,Interesses
2944,Estagiário Tesouraria,2023-06-12 20:31:00.000000,2023-07-19 02:59:00.000000,Agronegócios,Estágio,Administrativo
2931,Estágio em Administração de Vendas,2023-05-30 12:21:51.000000,2023-08-01 02:59:00.000000,Agronegócios,Estágio,Administrativo
2952,Recursos Humanos - São José dos Campos/SP,2023-06-06 11:57:00.000000,2023-10-01 02:59:00.000000,Engenharia,Estágio,RH
2954,Labor Compliance - São José dos Campos/SP,2023-06-06 10:06:00.000000,2023-10-01 02:59:00.000000,Engenharia,Estágio,RH
2955,Recursos Humanos - Jacareí/SP,2023-06-06 10:10:00.000000,2023-10-01 02:59:00.000000,Engenharia,Estágio,RH
2957,Engenharia de Produtos - Cachoeirinha/RS,2023-06-06 08:22:00.000000,2023-10-01 02:59:00.000000,Engenharia,Estágio,Engenharia
2960,Planejamento em Supply Chain - Jundiaí/SP,2023-06-06 12:04:10.000000,2023-09-11 02:59:00.000000,Engenharia,Estágio,Logística / Supply Chain
2918,Auditoria Externa / SP,2023-05-25 17:51:10.567820,2023-06-21 02:59:59.000000,Consultoria,CLT,Administrativo
2847,TI,2023-04-20 15:48:27.895798,2023-07-01 02:59:59.000000,Tecnologia e Informática,CLT,Tecnologia
2743,"Financeiro (Cursos: Administração, Contabilidade e Economia).",2023-03-06 15:25:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,Administrativo
2737,"Auditoria de TI (Cursos:Ciências da Computação, Engenharia da Computação, Sistemas da Informação).",2023-03-06 12:36:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,Tecnologia
2881,Administracao,2023-05-05 19:09:50.035218,2023-06-13 02:59:59.000000,Mineração,CLT,Administrativo
2733,"Ouvidoria (Cursos: Direito, Comunicação Social, Relações Públicas e Marketing).",2023-03-06 12:28:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,Juridico
2750,Programa de Estági,2023-03-08 14:51:00.000000,2023-04-28 16:59:00.000000,Energia,Estágio,ALL
2796,Estágio de assistência de vendas,2023-03-29 23:08:00.000000,2023-04-20 01:22:00.000000,Química,Estágio,Comercial / Vendas
2755,"FP&A - Cursos: Economia, Engenharia de Produção, Engenharia de Materiais.",2023-03-07 14:53:00.000000,2023-03-20 02:59:00.000000,Energia,Estágio,Engenharia
2785,Estágio Tecnologia de Processos,2023-06-19 19:50:00.000000,2023-06-30 02:59:00.000000,Química,Estágio,Tecnologia
2851,Programa de estágio,2023-04-26 18:00:50.000000,2023-05-27 02:59:59.000000,Seguradoras e Previdência Privada,Estágio,ALL
2748,"RH (Cursos: Psicologia, Administração).",2023-03-06 15:32:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,RH
2766,Estágio Assuntos Regulatórios,2023-03-14 14:37:00.000000,2023-03-27 02:59:00.000000,Química,Estágio,Juridico
2917,AUTONOMIA LATAM,2023-05-24 21:31:41.200980,2023-05-30 02:59:59.000000,Tecnologia e Informática,Trainee,Tecnologia
2768,Estágio Fiscal,2023-03-13 14:11:00.000000,2023-03-27 02:59:00.000000,Distribuidores,Estágio,Administrativo
2767,Programa de estagio,2023-03-11 12:51:00.000000,2023-03-22 12:51:00.000000,Alimentos,Estágio,ALL
2910,Autonomia,2023-05-24 20:18:38.103234,2023-05-30 02:59:59.000000,Tecnologia e Informática,Estágio,Tecnologia
2894,Financas,2023-05-18 14:17:21.128391,2023-06-30 02:59:59.000000,Finanças,CLT,Administrativo
2754,"Pricing - Cursos: Economia, Engenharia de Produção, Engenharia de Materiais.",2023-03-07 14:52:00.000000,2023-03-20 02:59:00.000000,Energia,Estágio,Comercial / Vendas
2753,"M&A - Cursos: Economia, Engenharia de Produção, Engenharia de Materiais.",2023-03-07 14:33:00.000000,2023-03-20 02:59:00.000000,Energia,Estágio,Engenharia
2806,Programa de Trainee,2023-04-04 20:28:56.669690,2023-04-28 02:59:59.000000,Seguradoras e Previdência Privada,CLT,ALL
2920,Autonomia,2023-05-25 19:24:55.413071,2023-05-30 02:59:59.000000,Tecnologia e Informática,Estágio,Tecnologia
2914,Autonomia,2023-05-24 21:10:22.051697,2023-05-30 02:59:59.000000,Tecnologia e Informática,Estágio,Tecnologia
2757,"TI - Cursos: Sistemas Informação, Engenharia Computação, Ciência da Computação.",2023-03-07 14:56:00.000000,2023-03-20 02:59:00.000000,Energia,Estágio,Tecnologia
2850,TI,2023-04-26 15:36:23.000000,2023-04-28 02:59:59.000000,Seguradoras e Previdência Privada,CLT,Tecnologia
2903,Crédito,2023-05-24 14:27:29.000000,2023-06-29 02:59:00.000000,Bancos,Trainee,Administrativo
2756,Jurídico - Cursos: Direito.,2023-03-07 14:55:00.000000,2023-03-20 02:59:00.000000,Energia,Estágio,Juridico
2916,AUTONOMIA LATAM,2023-05-24 21:24:28.184066,2023-05-30 02:59:59.000000,Tecnologia e Informática,Trainee,Tecnologia
2734,"Atendimento (Cursos: Engenharia (Produção / Elétrica / Mecânica), Estatística ou Matemática.",2023-03-06 12:31:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,Engenharia
2880,PERFIL OPERAÇÃO,2023-05-05 19:08:23.993970,2023-06-13 02:59:59.000000,Mineração,CLT,Produção / Operações
2744,Resultados Vida e Prestamista (Cursos: Estatística).,2023-03-06 15:27:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,Administrativo
2740,Contabilidade (Cursos: Contabilidade).,2023-03-06 12:40:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,Comercial / Vendas
2907,Global Markets,2023-05-24 14:32:07.000000,2023-06-29 02:59:00.000000,Bancos,Trainee,Comercial / Vendas
2807,PROGRAMA TRAINEE,2023-04-05 13:06:28.563919,2023-04-28 02:59:59.000000,Seguradoras e Previdência Privada,CLT,ALL
2919,Riscos e Controles/Barueri,2023-07-02 20:30:00.000000,2023-07-29 02:59:00.000000,Consultoria,CLT,Engenharia
2736,"Auditoria de Processos (Administração, Ciências, Contábeis, Ciências Atuariais e Economia).",2023-03-06 12:35:00.000000,2023-06-11 13:00:00.000000,Finanças,Estágio,Administrativo
2841,Estágio em P&D -  Divisão de Sabor & Bem-estar.,2023-04-25 13:00:00.000000,2023-06-01 02:59:00.000000,Química,Estágio,Engenharia
2727,Estágio em Importação e Exportação,2023-03-15 22:37:00.000000,2023-03-29 02:59:00.000000,Química,Estágio,Comercial / Vendas
2758,"BI - Cursos: Administração, Economia, Sistema de Informação.",2023-03-07 14:57:00.000000,2023-03-20 02:59:00.000000,Energia,Estágio,Administrativo
2752,"RH (ESG) - Cursos: Gestão Ambiental, Administração.",2023-03-07 14:27:00.000000,2023-03-20 02:59:00.000000,Energia,Estágio,RH
2963,Programa de estágio,2023-06-07 19:13:57.063222,2023-07-29 02:59:59.000000,Finanças,CLT,ALL
2915,AUTONOMIA LATAM,2023-05-24 21:18:34.834616,2023-05-30 02:59:59.000000,Tecnologia e Informática,Trainee,Tecnologia
2849,TI,2023-04-20 18:50:11.421799,2023-04-28 02:59:59.000000,Seguradoras e Previdência Privada,CLT,Tecnologia
2905,Risco,2023-05-24 14:30:16.000000,2023-06-29 02:59:00.000000,Bancos,Trainee,Administrativo
2749,Estágio em Customer Care,2023-03-07 18:14:00.000000,2023-03-24 02:59:00.000000,Química,Estágio,Administrativo
2904,ALM Treasury,2023-05-24 14:29:28.000000,2023-06-29 02:59:00.000000,Bancos,Trainee,Administrativo
2738,"Business Intelligence (Cursos: Análise de Sistemas, Engenharia (Produção / Materiais).",2023-03-06 12:38:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,Engenharia
2840,Quimica,2023-04-21 01:25:00.000000,2023-05-04 02:59:00.000000,Química,Estágio,Engenharia
2909,Securitie Services,2023-05-24 14:33:45.000000,2023-06-29 02:59:00.000000,Bancos,Trainee,Produção / Operações
2786,Estágio Treinamentos Operacionais,2023-08-03 13:40:00.000000,2023-08-28 02:59:00.000000,Química,Estágio,Produção / Operações
2965,Estágio em Recursos Humanos,2023-06-12 20:28:00.000000,2023-07-19 02:59:00.000000,Agronegócios,Estágio,RH
2720,TI,2023-02-28 20:14:46.388764,2023-03-29 02:59:59.000000,Tecnologia e Informática,CLT,Tecnologia
2906,Change & Solutions,2023-05-24 14:31:09.000000,2023-06-29 02:59:00.000000,Bancos,Trainee,Administrativo
2911,Autonomia,2023-05-24 20:45:18.728991,2023-05-30 02:59:59.000000,Tecnologia e Informática,Trainee,Tecnologia
2921,AUTONOMIA LATAM,2023-05-25 19:33:20.320044,2023-05-30 02:59:59.000000,Tecnologia e Informática,Estágio,Tecnologia
2735,Atuária (Ciências Atuariais).,2023-03-06 12:33:00.000000,2023-04-17 02:59:00.000000,Finanças,Estágio,Administrativo
