user_id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1227965,SF_DS,54.00,52.00,44.00,38.00,48.00,44.00
1394000,SF_DS,64.00,54.00,42.00,40.00,34.00,44.00
1112674,SF_DS,56.00,50.00,44.00,48.00,46.00,46.00
1092303,SF_DS,58.00,52.00,46.00,38.00,46.00,48.00
1052647,SF_DS,62.00,56.00,46.00,50.00,48.00,54.00
1111438,SF_DS,62.00,60.00,32.00,40.00,32.00,44.00
1112941,SF_DS,54.00,44.00,30.00,38.00,28.00,32.00
1117782,SF_DS,58.00,54.00,38.00,52.00,48.00,48.00
1085505,SF_DS,54.00,46.00,30.00,38.00,44.00,36.00
1303258,SF_DS,56.00,40.00,22.00,26.00,24.00,36.00
1116285,SF_DS,78.00,54.00,42.00,44.00,50.00,40.00
1090869,SF_DS,56.00,58.00,38.00,28.00,50.00,42.00
1306377,SF_DS,64.00,60.00,44.00,40.00,40.00,56.00
1090742,SF_DS,70.00,60.00,48.00,58.00,54.00,58.00
1400420,SF_DS,74.00,62.00,46.00,54.00,48.00,52.00
1301108,SF_DS,54.00,56.00,46.00,52.00,44.00,50.00
1086452,SF_DS,52.00,42.00,18.00,40.00,22.00,36.00
1318062,SF_DS,64.00,54.00,44.00,38.00,44.00,44.00
1402306,SF_DS,56.00,56.00,26.00,24.00,24.00,40.00
1298069,SF_DS,64.00,66.00,44.00,46.00,46.00,54.00
1091784,SF_DS,62.00,54.00,26.00,44.00,52.00,38.00
1136846,SF_DS,70.00,60.00,36.00,54.00,46.00,42.00
1111728,SF_DS,60.00,62.00,36.00,28.00,42.00,56.00
1031758,SF_DS,50.00,46.00,26.00,40.00,32.00,30.00
1105175,SF_DS,52.00,56.00,34.00,48.00,38.00,46.00
1115632,SF_DS,58.00,62.00,44.00,54.00,50.00,52.00
1132740,SF_DS,70.00,68.00,60.00,62.00,54.00,60.00
1098394,SF_DS,50.00,56.00,48.00,42.00,46.00,40.00
1315943,SF_DS,52.00,46.00,24.00,28.00,26.00,44.00
1094076,SF_DS,64.00,66.00,60.00,60.00,52.00,50.00
1116049,SF_DS,58.00,60.00,52.00,50.00,48.00,40.00
1088950,SF_DS,50.00,58.00,30.00,42.00,40.00,36.00
549693,SF_DS,66.00,64.00,56.00,52.00,52.00,60.00
1120421,SF_DS,72.00,60.00,38.00,38.00,52.00,56.00
1026124,SF_DS,54.00,58.00,24.00,48.00,46.00,48.00
1304379,SF_DS,60.00,46.00,42.00,44.00,32.00,34.00
1144672,SF_DS,64.00,62.00,48.00,60.00,42.00,58.00
1286699,SF_DS,56.00,50.00,36.00,46.00,26.00,48.00
1119019,SF_DS,56.00,48.00,42.00,34.00,42.00,44.00
1108011,SF_DS,60.00,62.00,44.00,54.00,50.00,54.00
1198860,SF_DS,64.00,58.00,38.00,56.00,56.00,50.00
1126495,SF_DS,58.00,58.00,34.00,44.00,44.00,34.00
1316374,SF_DS,62.00,50.00,34.00,38.00,36.00,46.00
1102921,SF_DS,52.00,48.00,44.00,44.00,42.00,44.00
1303260,SF_DS,60.00,52.00,48.00,44.00,46.00,50.00
898575,SF_DS,68.00,64.00,44.00,58.00,50.00,62.00
1127656,SF_DS,52.00,54.00,50.00,44.00,48.00,50.00
1307491,SF_DS,68.00,56.00,38.00,50.00,46.00,52.00
1105942,SF_DS,50.00,58.00,46.00,44.00,50.00,50.00
980949,SF_DS,68.00,58.00,40.00,34.00,52.00,54.00
1128194,SF_DS,62.00,52.00,46.00,50.00,46.00,44.00
1139917,SF_DS,60.00,62.00,48.00,56.00,52.00,54.00
1128772,SF_DS,70.00,64.00,48.00,60.00,58.00,58.00
1137719,SF_DS,52.00,44.00,22.00,38.00,38.00,34.00
1112321,SF_DS,58.00,56.00,48.00,52.00,50.00,54.00
1373625,SF_DS,58.00,50.00,28.00,44.00,44.00,34.00
1111446,SF_DS,56.00,54.00,52.00,48.00,48.00,40.00
1130687,SF_DS,56.00,54.00,48.00,42.00,38.00,46.00
1114127,SF_DS,58.00,56.00,38.00,54.00,52.00,54.00
1093893,SF_DS,66.00,56.00,48.00,44.00,52.00,42.00
1374303,SF_DS,62.00,48.00,26.00,34.00,40.00,44.00
1045510,SF_DS,56.00,52.00,32.00,48.00,38.00,48.00
1125046,SF_DS,72.00,58.00,34.00,46.00,40.00,54.00
1098745,SF_DS,50.00,48.00,26.00,42.00,40.00,40.00
1283374,SF_DS,62.00,64.00,44.00,44.00,40.00,46.00
888134,SF_DS,54.00,48.00,44.00,44.00,34.00,44.00
1089603,SF_DS,64.00,62.00,42.00,52.00,52.00,52.00
1092462,SF_DS,72.00,62.00,60.00,52.00,60.00,60.00
1101915,SF_DS,64.00,58.00,38.00,48.00,42.00,44.00
1128160,SF_DS,70.00,54.00,44.00,44.00,52.00,44.00
1091140,SF_DS,62.00,56.00,36.00,42.00,48.00,54.00
1391780,SF_DS,56.00,58.00,52.00,56.00,56.00,46.00
1124509,SF_DS,46.00,50.00,18.00,36.00,26.00,36.00
1101989,SF_DS,60.00,58.00,36.00,40.00,54.00,54.00
