user_id,name
333189,Logistica / Supply Chain
333407,Engenharia
333407,Tecnologia
333407,RH
333407,Administrativo
333407,Marketing / Comunicação
333407,Produção / Operações
333407,Logistica / Supply Chain
333526,Comercial / Vendas
333526,Tecnologia
333800,Comercial / Vendas
333800,Tecnologia
333800,Administrativo
333800,Marketing / Comunicação
333800,Produção / Operações
333800,Logistica / Supply Chain
334248,Tecnologia
334248,Saúde
334248,Produção / Operações
334248,Logistica / Supply Chain
334599,Comercial / Vendas
334599,Tecnologia
334599,Saúde
334599,Administrativo
334599,Marketing / Comunicação
334759,Administrativo
334759,Finanças / Contabilidade
334759,Produção / Operações
334943,Jurídico
335352,Comercial / Vendas
335352,RH
335352,Administrativo
335352,Marketing / Comunicação
335352,Finanças / Contabilidade
336506,RH
337092,Jurídico
337092,Administrativo
337092,Finanças / Contabilidade
337136,Produção / Operações
337136,Tecnologia
337136,Finanças / Contabilidade
337385,Produção / Operações
338833,Tecnologia
338833,RH
338833,Jurídico
338833,Administrativo
338833,Marketing / Comunicação
338833,Produção / Operações
338833,Logistica / Supply Chain
338882,Comercial / Vendas
338882,Tecnologia
338882,Administrativo
338882,Marketing / Comunicação
338882,Produção / Operações
338882,Logistica / Supply Chain
339792,Tecnologia
339792,Administrativo
339792,Finanças / Contabilidade
339792,Produção / Operações
340049,Tecnologia
340049,RH
340049,Administrativo
340049,Marketing / Comunicação
340049,Logistica / Supply Chain
340412,RH
340412,Administrativo
340412,Marketing / Comunicação
341050,Jurídico
341050,Marketing / Comunicação
341711,Comercial / Vendas
341711,Tecnologia
341711,Administrativo
341711,Finanças / Contabilidade
342181,Administrativo
342181,Finanças / Contabilidade
342181,Logistica / Supply Chain
342890,Comercial / Vendas
342890,Jurídico
342890,Finanças / Contabilidade
343191,Tecnologia
343191,RH
343191,Administrativo
343191,Finanças / Contabilidade
343278,Comercial / Vendas
343278,Tecnologia
343278,RH
343278,Jurídico
343278,Administrativo
343278,Finanças / Contabilidade
343278,Produção / Operações
343278,Logistica / Supply Chain
343760,Comercial / Vendas
343760,Tecnologia
343760,RH
343760,Administrativo
343760,Marketing / Comunicação
344634,Tecnologia
345646,Comercial / Vendas
345646,RH
345646,Saúde
345646,Administrativo
345646,Marketing / Comunicação
345646,Finanças / Contabilidade
345802,Comercial / Vendas
345802,Tecnologia
345802,RH
345802,Administrativo
345802,Finanças / Contabilidade
345802,Logistica / Supply Chain
346220,Comercial / Vendas
346220,Tecnologia
346220,RH
346220,Administrativo
346220,Produção / Operações
346943,Administrativo
346943,Produção / Operações
346943,Logistica / Supply Chain
347039,Administrativo
347039,Finanças / Contabilidade
347039,Produção / Operações
347066,Comercial / Vendas
347066,Administrativo
347066,Marketing / Comunicação
347085,Jurídico
347085,Administrativo
347126,Comercial / Vendas
347126,Produção / Operações
347257,Comercial / Vendas
347257,Tecnologia
347257,Jurídico
347257,Administrativo
347257,Marketing / Comunicação
347257,Produção / Operações
348436,Engenharia
348436,Tecnologia
348436,Produção / Operações
348436,Logistica / Supply Chain
350164,Jurídico
350164,Administrativo
350164,Marketing / Comunicação
350365,Comercial / Vendas
350365,Tecnologia
350365,Finanças / Contabilidade
350365,Produção / Operações
350365,Logistica / Supply Chain
350880,Comercial / Vendas
350880,Engenharia
350880,Tecnologia
350880,RH
350880,Jurídico
350880,Saúde
350880,Administrativo
350880,Marketing / Comunicação
350880,Finanças / Contabilidade
350880,Produção / Operações
350880,Logistica / Supply Chain
351145,Jurídico
351169,Engenharia
351169,Tecnologia
351169,Marketing / Comunicação
351169,Finanças / Contabilidade
351169,Produção / Operações
351169,Logistica / Supply Chain
351468,Finanças / Contabilidade
351468,Produção / Operações
352450,Jurídico
352702,Tecnologia
352702,Administrativo
352702,Marketing / Comunicação
352702,Logistica / Supply Chain
352902,Engenharia
352902,Tecnologia
352902,Produção / Operações
352954,Comercial / Vendas
352954,Administrativo
352954,Finanças / Contabilidade
352954,Produção / Operações
353223,Comercial / Vendas
353223,Jurídico
353223,Administrativo
353223,Marketing / Comunicação
353223,Finanças / Contabilidade
353829,Comercial / Vendas
353829,Finanças / Contabilidade
354904,Comercial / Vendas
354904,Administrativo
354904,Marketing / Comunicação
355343,RH
355343,Administrativo
355343,Produção / Operações
356041,Comercial / Vendas
356041,Administrativo
356041,Finanças / Contabilidade
356724,Jurídico
356961,Engenharia
356961,Administrativo
356961,Finanças / Contabilidade
356961,Produção / Operações
357477,Comercial / Vendas
357477,Engenharia
357477,Tecnologia
357477,Administrativo
357477,Finanças / Contabilidade
357477,Produção / Operações
357477,Logistica / Supply Chain
357920,Comercial / Vendas
357920,Engenharia
357920,Finanças / Contabilidade
357920,Produção / Operações
357920,Logistica / Supply Chain
357997,Comercial / Vendas
357997,Tecnologia
357997,Administrativo
357997,Finanças / Contabilidade
357997,Produção / Operações
357997,Logistica / Supply Chain
358793,Administrativo
358793,Finanças / Contabilidade
358793,Produção / Operações
358793,Logistica / Supply Chain
359231,Tecnologia
359338,RH
359338,Administrativo
359338,Finanças / Contabilidade
359444,Comercial / Vendas
359444,Saúde
359444,Administrativo
359444,Marketing / Comunicação
359444,Produção / Operações
360083,Comercial / Vendas
360083,RH
360083,Administrativo
360083,Marketing / Comunicação
360591,Tecnologia
360591,Produção / Operações
360591,Logistica / Supply Chain
360672,Tecnologia
361075,Comercial / Vendas
361075,Administrativo
361075,Marketing / Comunicação
361075,Finanças / Contabilidade
361414,Comercial / Vendas
361414,Tecnologia
361414,Administrativo
361414,Finanças / Contabilidade
361414,Produção / Operações
362262,Administrativo
362262,Finanças / Contabilidade
362270,Comercial / Vendas
362270,Administrativo
362452,Administrativo
362452,Finanças / Contabilidade
362554,Engenharia
362554,Tecnologia
362554,RH
362554,Administrativo
362554,Marketing / Comunicação
362554,Produção / Operações
362554,Logistica / Supply Chain
362723,Comercial / Vendas
362723,Administrativo
362723,Marketing / Comunicação
362723,Finanças / Contabilidade
363752,Engenharia
363752,Administrativo
363752,Produção / Operações
363752,Logistica / Supply Chain
366042,Jurídico
370204,Administrativo
370204,Finanças / Contabilidade
370773,RH
370773,Administrativo
370796,Tecnologia
370796,Saúde
370796,Produção / Operações
370796,Logistica / Supply Chain
373128,Engenharia
373128,Tecnologia
373128,Logistica / Supply Chain
373675,Comercial / Vendas
373675,RH
373675,Administrativo
373675,Marketing / Comunicação
373675,Logistica / Supply Chain
374353,Comercial / Vendas
374353,Tecnologia
374353,RH
374353,Administrativo
374353,Marketing / Comunicação
374353,Finanças / Contabilidade
374353,Produção / Operações
374482,Engenharia
374546,Comercial / Vendas
374546,Tecnologia
374546,Marketing / Comunicação
377369,Comercial / Vendas
377369,RH
377369,Administrativo
377369,Produção / Operações
377369,Logistica / Supply Chain
378350,Comercial / Vendas
378350,Marketing / Comunicação
378350,Logistica / Supply Chain
378602,Administrativo
378602,Finanças / Contabilidade
378837,Comercial / Vendas
378837,Tecnologia
378837,Marketing / Comunicação
378837,Produção / Operações
378837,Logistica / Supply Chain
378844,Comercial / Vendas
378844,Tecnologia
378844,Marketing / Comunicação
378844,Produção / Operações
378872,Comercial / Vendas
378872,RH
378872,Administrativo
378872,Finanças / Contabilidade
379474,Administrativo
379474,Marketing / Comunicação
379474,Finanças / Contabilidade
379474,Logistica / Supply Chain
379673,Engenharia
379673,Produção / Operações
379673,Logistica / Supply Chain
380534,Engenharia
380643,Engenharia
380643,Administrativo
380643,Marketing / Comunicação
380643,Produção / Operações
380643,Logistica / Supply Chain
382037,Saúde
382390,Comercial / Vendas
382390,RH
382390,Administrativo
382390,Marketing / Comunicação
382622,Comercial / Vendas
382622,Engenharia
382622,Saúde
382622,Marketing / Comunicação
383233,RH
383233,Saúde
384753,Saúde
384992,RH
384992,Administrativo
384992,Marketing / Comunicação
384992,Finanças / Contabilidade
385184,Jurídico
385184,Administrativo
385184,Marketing / Comunicação
385184,Finanças / Contabilidade
385651,Comercial / Vendas
385651,Engenharia
385651,Produção / Operações
386096,Engenharia
386096,Tecnologia
386096,Produção / Operações
386096,Logistica / Supply Chain
386425,Engenharia
386425,Saúde
386425,Administrativo
386425,Produção / Operações
387472,Comercial / Vendas
387472,Saúde
387472,Marketing / Comunicação
387790,Comercial / Vendas
387790,Engenharia
387790,Logistica / Supply Chain
388581,Comercial / Vendas
388581,Engenharia
388581,Tecnologia
388581,Administrativo
388581,Finanças / Contabilidade
388581,Produção / Operações
388581,Logistica / Supply Chain
389260,Comercial / Vendas
389260,Tecnologia
389260,Saúde
389260,Marketing / Comunicação
389639,Comercial / Vendas
389639,RH
389639,Administrativo
389639,Finanças / Contabilidade
389639,Produção / Operações
389639,Logistica / Supply Chain
390184,Comercial / Vendas
390184,Engenharia
390184,Produção / Operações
390565,Comercial / Vendas
390565,Engenharia
390565,Tecnologia
390565,Produção / Operações
390565,Logistica / Supply Chain
390801,Engenharia
390801,Administrativo
390801,Logistica / Supply Chain
390880,Comercial / Vendas
390880,Jurídico
390880,Administrativo
390880,Logistica / Supply Chain
392028,Administrativo
392028,Finanças / Contabilidade
392116,Tecnologia
392116,Saúde
392116,Produção / Operações
392184,Comercial / Vendas
392184,Tecnologia
392184,Finanças / Contabilidade
394584,Comercial / Vendas
394584,Administrativo
394584,Marketing / Comunicação
394584,Finanças / Contabilidade
395097,Tecnologia
395097,Produção / Operações
395097,Logistica / Supply Chain
395696,Comercial / Vendas
395696,Engenharia
395696,Tecnologia
395696,Administrativo
395696,Marketing / Comunicação
395696,Produção / Operações
395788,Produção / Operações
396713,Tecnologia
396895,Tecnologia
396895,Saúde
396895,Produção / Operações
397417,RH
397417,Administrativo
397417,Marketing / Comunicação
397417,Finanças / Contabilidade
397497,Engenharia
397497,Administrativo
397497,Finanças / Contabilidade
397497,Logistica / Supply Chain
397850,Engenharia
397850,Finanças / Contabilidade
397850,Produção / Operações
397850,Logistica / Supply Chain
397872,Comercial / Vendas
397872,RH
397872,Administrativo
397872,Finanças / Contabilidade
397872,Produção / Operações
398517,Engenharia
398517,Administrativo
398517,Marketing / Comunicação
